index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_language_list,drama_time
1,爱，死亡和机器人,"维克多·马尔多纳多,加布里埃尔·彭纳基奥利,阿尔弗雷多·托雷斯,弗兰克·巴尔森,阿尔贝托·米尔戈,蒂姆·米勒,达米安·纽诺,杰罗姆·陈,维塔利·舒舒科,欧文·沙利文,罗伯特·瓦利,戴夫·威尔逊,乔恩·叶,哈维尔·雷西奥·格雷西亚","斯科特·怀特,诺兰·诺斯,马修·杨·金,迈克尔·本耶尔,乔什·布雷纳",9.1,https://movie.douban.com/subject/30424374/, 美国, 英语,2019
2,进击的巨人 第三季 Part.2,荒木哲郎,"梶裕贵,石川由依,井上麻里奈,神谷浩史,小野大辅",9.8,https://movie.douban.com/subject/30353357/, 日本, 日语,2019
3,一拳超人,夏目真悟,"古川慎,石川界人,梶裕贵,悠木碧,中村悠一",9.3,https://movie.douban.com/subject/26339248/, 日本, 日语,2015
4,瑞克和莫蒂 第一季,贾斯汀·罗兰,"贾斯汀·罗兰,汤姆·肯尼,克里斯·帕内尔,斯宾瑟·格拉默,萨拉·乔克",9.7,https://movie.douban.com/subject/11537954/, 美国, 英语,2013
5,瑞克和莫蒂 第三季,"贾斯汀·罗兰,Juan Jose Meza-Leon","贾斯汀·罗兰,克里斯·帕内尔,斯宾瑟·格拉默,萨拉·乔克,内森·菲利安",9.8,https://movie.douban.com/subject/26592971/, 美国, 英语,2017
6,一拳超人 第二季,樱井亲良,"古川慎,石川界人,梶裕贵,悠木碧,山路和弘",7.7,https://movie.douban.com/subject/26882339/, 日本, 日语,2019
7,斗破苍穹特别篇2,赵丙乐,"谢添天,冯骏骅,袁国庆,王宇航,刘北辰",8.6,https://movie.douban.com/subject/30222889/, 中国大陆, 汉语普通话,2019
8,灵能百分百,立川让,"伊藤节生,樱井孝宏,大塚明夫,入野自由,细谷佳正",9.3,https://movie.douban.com/subject/26677934/, 日本, 日语,2016
9,灵能百分百 II,立川让,"伊藤节生,樱井孝宏,大塚明夫,入野自由,松冈祯丞",9.6,https://movie.douban.com/subject/27011763/, 日本, 日语,2019
10,瑞克和莫蒂 第二季,"韦斯利·阿彻,皮特·米歇尔斯","贾斯汀·罗兰,克里斯·帕内尔,斯宾瑟·格拉默,萨拉·乔克,科甘-迈克尔·凯",9.8,https://movie.douban.com/subject/25865470/, 美国, 英语,2015
11,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,畠山守,"古贺葵,古川慎,小原好美,铃木崚汰,花守由美里",9.0,https://movie.douban.com/subject/30241099/, 日本, 日语,2019
12,我的英雄学院 第1季,长崎健司,"山下大辉,三宅健太,冈本信彦,石川界人,佐仓绫音",8.9,https://movie.douban.com/subject/26653375/, 日本, 日语,2016
13,我的英雄学院 第3季,长崎健司,"山下大辉,三宅健太,冈本信彦,佐仓绫音,石川界人",9.3,https://movie.douban.com/subject/27160633/, 日本, 日语,2018
14,我们仍未知道那天所看见的花的名字,长井龙雪,"入野自由,茅野爱衣,户松遥,樱井孝宏,早见沙织",8.7,https://movie.douban.com/subject/5397537/, 日本, 日语,2011
15,约定的梦幻岛,神户守,"诸星堇,伊濑茉莉也,内田真礼,甲斐田裕子,藤田奈央",9.3,https://movie.douban.com/subject/30206430/, 日本, 日语,2019
16,魔道祖师,熊可,"阿杰,边江,郭浩然,刘三木,苏尚卿",8.9,https://movie.douban.com/subject/27015848/, 中国大陆, 汉语普通话,2018
17,强风吹拂,野村和也,"大冢刚央,丰永利行,榎木淳弥,上村祐翔,内山昂辉",9.6,https://movie.douban.com/subject/30238385/, 日本, 日语,2018
18,一人之下 第一季,"李豪凌,王昕","田丸笃志,饭田友子,早见沙织,野岛健儿,立花慎之介",8.7,https://movie.douban.com/subject/26815153/, 中国大陆 / 日本, 日语 / 汉语普通话,2016
