index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_type,drama_language_list,drama_time
1,生活大爆炸 第十二季,马克·森卓斯基,"吉姆·帕森斯,约翰尼·盖尔克奇,凯莉·库柯,西蒙·赫尔伯格,昆瑙·内亚",9.6,https://movie.douban.com/subject/27001001/, 美国,"喜剧,爱情", 英语,2018
2,非自然死亡,"冢原亚由子,竹村谦太郎,村尾嘉昭","石原里美,井浦新,洼田正孝,市川实日子,松重丰",9.4,https://movie.douban.com/subject/27140017/, 日本,"剧情,悬疑", 日语,2018
3,杀死伊芙 第一季,"荣·伊斯特,达蒙·托马斯,哈利·布拉德比尔","吴珊卓,朱迪·科默,费奥纳·肖,欧文·麦克唐纳,金·波德尼亚",8.6,https://movie.douban.com/subject/26915602/, 美国 / 英国,"剧情,惊悚", 英语 / 法语,2018
4,摩登家庭 第十季,"盖尔·曼库索,斯蒂文·莱维坦","艾德·奥尼尔,索菲娅·维加拉,朱丽·鲍温,泰·布利尔,杰西·泰勒·弗格森",9.4,https://movie.douban.com/subject/27041245/, 美国,"喜剧,家庭", 英语,2018
5,香蜜沉沉烬如霜,"朱锐斌,李秉光,澄丰","杨紫,邓伦,陈钰琪,罗云熙,王一菲",7.7,https://movie.douban.com/subject/26920281/, 中国大陆,"爱情,奇幻,古装", 汉语普通话,2018
6,知否知否应是绿肥红瘦,张开宙,"赵丽颖,冯绍峰,朱一龙,施诗,张佳宁",7.6,https://movie.douban.com/subject/26928226/, 中国大陆,"剧情,爱情,古装", 汉语普通话,2018
7,我是大哥大,福田雄一,"贺来贤人,伊藤健太郎,清野菜名,桥本环奈,太贺",9.1,https://movie.douban.com/subject/30183785/, 日本,"剧情,喜剧", 日语,2018
8,小谢尔顿 第二季,"贾弗尔·马哈穆德,霍华德·达奇,马克·森卓斯基","伊恩·阿米蒂奇,佐伊·派瑞,兰斯·巴伯,蒙塔纳·乔丹,拉根·雷沃德",9.4,https://movie.douban.com/subject/27623506/, 美国,喜剧, 英语,2018
9,我的天才女友 第一季,萨维里奥·科斯坦佐,"伊利莎·德尔·吉尼欧,卢多维卡·纳斯提,玛格丽塔·马祖可,盖娅·吉拉切,伊丽莎白·德·帕罗奥",9.3,https://movie.douban.com/subject/28427782/, 美国 / 意大利,剧情, 意大利语 / 那不勒斯语,2018
10,延禧攻略,"惠楷栋,温德光","秦岚,聂远,佘诗曼,吴谨言,许凯",7.2,https://movie.douban.com/subject/26999852/, 中国大陆,"剧情,爱情,古装", 汉语普通话,2018
11,金秘书为何那样,朴俊和,"朴叙俊,朴敏英,李泰焕,姜其永,黄灿盛",8,https://movie.douban.com/subject/30181455/, 韩国,"喜剧,爱情", 韩语,2018
12,大江大河,"孔笙,黄伟","王凯,杨烁,董子健,童瑶,杨立新",8.8,https://movie.douban.com/subject/26797690/, 中国大陆,剧情, 汉语普通话,2018
13,天空之城,赵贤卓,"廉晶雅,李泰兰,尹世雅,吴娜拉,金瑞亨",8.8,https://movie.douban.com/subject/30304087/, 韩国,剧情, 韩语,2018
14,梅尔罗斯,爱德华·贝尔格,"本尼迪克特·康伯巴奇,詹妮弗·杰森·李,塞巴斯蒂安·马尔茨,杰西卡·雷恩,雨果·维文",9,https://movie.douban.com/subject/26985973/, 英国,剧情, 英语,2018
15,天盛长歌,"沈严,刘海波","陈坤,倪妮,赵立新,倪大红,袁弘",8.2,https://movie.douban.com/subject/26761328/, 中国大陆,"剧情,爱情,古装", 汉语普通话,2018
16,我的大叔,金元锡,"李知恩,李善均,高斗心,宋清晨,张基龙",9.4,https://movie.douban.com/subject/27602137/, 韩国,剧情, 韩语,2018
17,西部世界 第二季,"理查德·J·刘易斯,文森佐·纳塔利,丽莎·乔·诺兰,克雷格·卓贝,塔里克·萨利赫,妮可·卡索,乌塔·布里兹维茨,斯蒂芬·威廉姆斯,弗雷德·托耶","埃文·蕾切尔·伍德,坦迪·牛顿,詹姆斯·麦斯登,吉米·辛普森,妲露拉·莱莉",8.9,https://movie.douban.com/subject/26887174/, 美国,"科幻,西部", 英语,2018
18,贴身保镖,"托马斯·文森特,约翰·史翠兰","理查德·麦登,凯莉·霍威,苏菲·兰朵,维森特·富兰克林,阿什·坦顿",8.5,https://movie.douban.com/subject/27163287/, 英国,"剧情,惊悚,犯罪", 英语,2018
19,我们这一天 第三季,"肯·奥林,克里斯·科赫,丽贝卡·爱舍","米洛·文堤米利亚,曼迪·摩尔,斯特林·K·布朗,苏珊·卡莱布·沃森,克丽丝·梅斯",9.5,https://movie.douban.com/subject/26958599/, 美国,"剧情,喜剧,爱情", 英语,2018
20,了不起的麦瑟尔夫人 第二季,埃米·谢尔曼-帕拉迪诺,"瑞秋·布罗斯纳安,迈克尔·泽根,艾利克斯·布诺斯町,托尼·夏尔赫布,玛琳·辛科",8.6,https://movie.douban.com/subject/27016555/, 美国,"剧情,喜剧", 英语,2018
21,非自然死亡,"冢原亚由子,竹村谦太郎,村尾嘉昭","石原里美,井浦新,洼田正孝,市川实日子,松重丰",9.4,https://movie.douban.com/subject/27140017/, 日本,"剧情,悬疑", 日语,2018
22,杀死伊芙 第一季,"荣·伊斯特,达蒙·托马斯,哈利·布拉德比尔","吴珊卓,朱迪·科默,费奥纳·肖,欧文·麦克唐纳,金·波德尼亚",8.6,https://movie.douban.com/subject/26915602/, 美国 / 英国,"剧情,惊悚", 英语 / 法语,2018
23,摩登家庭 第十季,"盖尔·曼库索,斯蒂文·莱维坦","艾德·奥尼尔,索菲娅·维加拉,朱丽·鲍温,泰·布利尔,杰西·泰勒·弗格森",9.4,https://movie.douban.com/subject/27041245/, 美国,"喜剧,家庭", 英语,2018
24,香蜜沉沉烬如霜,"朱锐斌,李秉光,澄丰","杨紫,邓伦,陈钰琪,罗云熙,王一菲",7.7,https://movie.douban.com/subject/26920281/, 中国大陆,"爱情,奇幻,古装", 汉语普通话,2018
25,知否知否应是绿肥红瘦,张开宙,"赵丽颖,冯绍峰,朱一龙,施诗,张佳宁",7.6,https://movie.douban.com/subject/26928226/, 中国大陆,"剧情,爱情,古装", 汉语普通话,2018
26,我是大哥大,福田雄一,"贺来贤人,伊藤健太郎,清野菜名,桥本环奈,太贺",9.1,https://movie.douban.com/subject/30183785/, 日本,"剧情,喜剧", 日语,2018
27,小谢尔顿 第二季,"贾弗尔·马哈穆德,霍华德·达奇,马克·森卓斯基","伊恩·阿米蒂奇,佐伊·派瑞,兰斯·巴伯,蒙塔纳·乔丹,拉根·雷沃德",9.4,https://movie.douban.com/subject/27623506/, 美国,喜剧, 英语,2018
28,我的天才女友 第一季,萨维里奥·科斯坦佐,"伊利莎·德尔·吉尼欧,卢多维卡·纳斯提,玛格丽塔·马祖可,盖娅·吉拉切,伊丽莎白·德·帕罗奥",9.3,https://movie.douban.com/subject/28427782/, 美国 / 意大利,剧情, 意大利语 / 那不勒斯语,2018
29,延禧攻略,"惠楷栋,温德光","秦岚,聂远,佘诗曼,吴谨言,许凯",7.2,https://movie.douban.com/subject/26999852/, 中国大陆,"剧情,爱情,古装", 汉语普通话,2018
30,金秘书为何那样,朴俊和,"朴叙俊,朴敏英,李泰焕,姜其永,黄灿盛",8,https://movie.douban.com/subject/30181455/, 韩国,"喜剧,爱情", 韩语,2018
